date;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;cat_ddd;category_region;flood
04/01/2017;23;31;26,5;85;20;4,9;6;250;9;8;1;0
01/02/2017;24;29;24,9;94;6;0,5;4;260;5;8;1;0
02/02/2017;23;30,6;26,2;85;19;1,5;4;270;4;8;1;0
03/02/2017;24;29,2;25;88;0,5;0,6;4;260;5;8;1;0
04/02/2017;23;31;26,5;85;20;4,9;6;250;9;8;1;0
08/02/2017;24;32;27,4;86;1,2;4,3;5;230;5;7;1;0
10/02/2017;24;28;25,3;93;34,5;0;4;260;4;8;1;0
11/02/2017;23;27,8;25,4;92;8,5;0,1;4;270;5;8;1;0
12/02/2017;24;29;26;91;29;1;4;270;5;8;1;1
13/02/2017;24;31;26,6;84;15;7,1;5;280;6;4;1;1
14/02/2017;22;30,6;26,1;89;39,5;1;3;260;4;8;1;0
15/02/2017;21;32;26,5;84;15,7;7,3;5;260;6;8;1;0
16/02/2017;24;30,2;26,7;84;2;4,4;4;270;4;7;1;1
17/02/2017;24;32,2;27,1;82;13,5;5,7;4;270;5;8;1;0
19/02/2017;25;29,6;26,3;93;7,3;0;3;270;3;7;1;1
20/02/2017;25;27,2;25,8;93;17,8;0;46;4;46;2;1;0
21/02/2017;20;30,2;25,5;90;73,8;2,1;3;260;4;8;1;1
22/02/2017;24;34;27,2;84;9,4;7,2;4;270;2;7;1;1
23/02/2017;24;33,4;26,5;88;2;5,1;3;250;6;8;1;0
24/02/2017;24;31,8;26,8;85;31;3,5;3;270;3;7;1;1
26/02/2017;24;33;27,7;81;41,6;6,9;4;170;4;8;1;1
27/02/2017;24;32,2;27,5;84;3,4;4,5;4;270;4;1;1;1
03/03/2017;25;33;27;89;33;6;5;270;5;8;1;1
04/03/2017;24;32,8;26,7;85;30,7;5;5;240;4;7;1;1
05/03/2017;24;34,2;27,4;83;1,5;7;3;230;3;3;1;1
07/03/2017;24;31;25,8;90;18,8;2,6;4;240;2;8;1;1
08/03/2017;24;32,8;27,6;82;30,5;1,7;3;270;1;7;1;1
18/03/2017;24;30,6;26,7;84;57;0,2;5;240;2;8;1;0
19/03/2017;25;33,8;27,5;80;3,6;0,2;3;240;2;8;1;0
21/03/2017;24;32;27,4;85;23;2,6;4;220;1;2;1;0
22/03/2017;24;30,6;26,7;88;37;2,9;4;260;1;2;1;0
26/03/2017;26;32,6;26;92;2,1;0,8;3;240;1;2;1;0
